"otu","var.abs","varx.abs","value.abs","var.pos","varx.pos","value.pos"
"R1__Insecta_Diptera_Tabanidae_Hybomitra_rhombica_BOLD_AAG4571_size.14764","l_rumple",14,0.0913214990138075,"l_rumple",14,0.0913214990138075
"R1.68__Insecta_Diptera_Asilidae_Laphria_NA_BOLD_AAG6876_size.6856","l_rumple",14,-0.0490530303030304,"Ess30",9,0.0327651515151515
"R10017.3__Insecta_Hemiptera_Aphididae_Cinara_pseudotaxifoliae_BOLD_ABU8198_size.101","slope30",7,0.0559738955823289,"slope30",7,0.0559738955823289
"R10098__Insecta_Diptera_Mycetophilidae_Mycomya_NA_BOLD_ACJ6978_size.215","slope30",7,0.0626232741617355,"slope30",7,0.0626232741617355
"R10161.4__Insecta_Diptera_Mycetophilidae_Cordyla_NA_BOLD_AAP6493_size.176","be30",6,0.0926204819277113,"be30",6,0.0926204819277113
"R10178.4__Insecta_Diptera_Cecidomyiidae_NA_NA_BOLD_ACC2335_size.24","be30",6,0.0782312925170068,"be30",6,0.0782312925170068
"R10463.8__Insecta_Lepidoptera_Yponomeutidae_Eucalantica_polita_BOLD_AAB6103_size.46","be30",6,0.12953514739229,"be30",6,0.12953514739229
"R10545__Insecta_Diptera_Muscidae_Phaonia_NA_BOLD_ABU9891_size.2","be30",6,0.0613168724279836,"be30",6,0.0613168724279836
"R10790__Insecta_Diptera_Sciaridae_NA_NA_BOLD_ACC1657_size.68","be30",6,0.103287981859411,"be30",6,0.103287981859411
"R10952__Insecta_Diptera_Cecidomyiidae_NA_NA_BOLD_ACC1523_size.20","be30",6,0.0447074293228138,"be30",6,0.0447074293228138
"R10996__Arachnida_Araneae_Gnaphosidae_Sergiolus_montanus_BOLD_AAP4007_size.311","be30",6,0.0940329218106992,"be30",6,0.0940329218106992
"R1306.3__Arachnida_Araneae_Anyphaenidae_Anyphaena_pacifica_BOLD_AAJ2526_size.3672","be30",6,0.0730725623582762,"be30",6,0.0730725623582762
"R1423.113__Insecta_Coleoptera_NA_NA_NA_BOLD_ACI2933_size.19","l_rumple",14,0.054149085794656,"l_rumple",14,0.054149085794656
